BILL OF MATERIAL FROM TEST_WIDERSTAENDE_AUS_RCL.SCH, 29 PARTS, GROUPED BY VALUES, AS OF 05.10.2010 16:00:00;;;;;;;;;;;;;;;;;;
Part;Value;Device;Package;Description;Description2;Qty;Place_YES/NO;Povided_by_customer_YES/NO;Distributor;Ordernumber;Weblink;Remarks_customer;Unit_price;Total_price;REMARKS_BETA;OPTION1;OPTION2;OPTION3
ARDUINO_A, ARDUINO_D; ;PINHD-1X15;1X15;PIN HEADER; ;2;NO;NO;;;; ; ; ; ; ; ; 
AUDIO_IN; ;F25HP;F25HP;SUB-D; ;1;NO;NO;;;; ; ; ; ; ; ; 
CPUMP1, CPUMP2, CPUMP3, CPUMP4, CPUMP5, CPUMP6, CPUMP7, CPUMP8, CVDD1, CVDD2, CVDD3, CVDD4, CVDD5, CVDD6, CVDD7, CVDD8, CVREG1, CVREG2, CVREG3, CVREG4, CVREG5, CVREG6, CVREG7, CVREG8;0.1u;C-EUC0402;C0402;CAPACITOR, European symbol;Keramik Kondensator, 0402, X5R, 10V, 0.1µF;24; ;NO;Beta;147033;http://uk.rs-online.com/web/search/searchBrowseAction.html?method=searchProducts&searchTerm=147033&x=0&y=0; ; ; ; ; ; ; 
CVBST1, CVBST2, CVBST3, CVBST4, CVBST5, CVBST6, CVBST7, CVBST8;0.1u, 250V;C-EUC0805;C0805;CAPACITOR, European symbol; ;8; ;NO;DIGIKEY; 445-7749-1-ND; http://www.digikey.ch/product-detail/en/C2012X7T2E104K125AA/445-7749-1-ND/2733821; ; ; ; ; ; ; 
C_SUP1;100u;CAP_POL12061;EIA3216; ; ;1; ;NO;DIGIKEY; 478-8155-1-ND; http://www.digikey.ch/product-detail/en/F930J107MAA/478-8155-1-ND/4005677; ; ; ; ; ; ; 
C_SUP2;10u;C-EUC0805K;C0805K;CAPACITOR, European symbol;Capacitor, 0805, 10uF, 16V;1; ;NO;Beta;6911161P;http://uk.rs-online.com/web/search/searchBrowseAction.html?method=searchProducts&searchTerm=6911161P&x=0&y=0; ; ; ; ; ; ; 
DRV1, DRV2, DRV3, DRV4, DRV5, DRV6, DRV7, DRV8;DRV2667;DRV2667;QFN-20_9TH; ; ;8; ;NO;MOUSER; 595-DRV2667RGPT; http://www.mouser.de/ProductDetail/Texas-Instruments/DRV2667RGPT/?qs=sGAEpiMZZMs8fmn5dxfQM6t76%252bHlLvHR; ; ; ; ; ; ; 
GND_LIFT;SWITCH_DPDT;SWITCH_DPDT;SWITCH_JS202011; ; ;1;NO;NO;;;; ; ; ; ; ; ; 
HEADER_EXT; ;PINHD-1X12;1X12;PIN HEADER; ;1;NO;NO;;;; ; ; ; ; ; ; 
I2C_SWITCH;I2C-SWITCH_8-1TSSOP24;I2C-SWITCH_8-1TSSOP24;TSSOP24; ; ;1; ;NO;DIGIKEY; 568-3384-5-ND; http://www.digikey.ch/product-detail/en/PCA9548APW,112/568-3384-5-ND/1125697; ; ; ; ; ; ; 
L1, L2, L3, L4, L5, L6, L7, L8;10u, 1.95A;L-EU4.0X4.0;L4.0X4.0;INDUCTOR, European symbol; ;8; ;NO;DIGIKEY; 535-12314-1-ND; http://www.digikey.ch/product-detail/en/ASPI-4030S-100M-T/535-12314-1-ND/4214914; ; ; ; ; ; ; 
LED1;red;LED1206;LED-1206;LEDs; ;1; ;NO;DIGIKEY; 160-1405-1-ND; http://www.digikey.ch/product-detail/en/LTST-C150KRKT/160-1405-1-ND/386760; ; ; ; ; ; ; 
LED2;orange;LED1206;LED-1206;LEDs; ;1; ;NO;DIGIKEY; 160-1403-1-ND; http://www.digikey.ch/product-detail/en/LTST-C150KFKT/160-1403-1-ND/386757; ; ; ; ; ; ; 
LED3;yellow;LED1206;LED-1206;LEDs; ;1; ;NO;DIGIKEY; 160-1406-1-ND; http://www.digikey.ch/product-detail/en/LTST-C150KSKT/160-1406-1-ND/386762; ; ; ; ; ; ; 
LED_SUP;green;LED1206;LED-1206;LEDs; ;1; ;NO;DIGIKEY; 160-1404-1-ND; http://www.digikey.ch/product-detail/en/LTST-C150KGKT/160-1404-1-ND/386759; ; ; ; ; ; ; 
P-CH1+2, P-CH3+4, P-CH5+6, P-CH7+8;FH12-22S-1SH-90°;FH12-22S-1SH-90°;FH12-22S-1SH; ; ;4; ;NO;DIGIKEY; HFB122CT-ND; http://www.digikey.ch/product-detail/en/FH12-22S-1SH(55)/HFB122CT-ND/1110432; ; ; ; ; ; ; 
PWR:;"LUMBERG-1613-14"",LUMBERG-1613-14""""";LUMBERG-1613_14; ; ;;1;NO;NO; ; ; ; ; ; ; ; ; ;
REXT1, REXT2, REXT3, REXT4, REXT5, REXT6, REXT7, REXT8, RLED_SUP;10k;R-EU_R0402;R0402;RESISTOR, European symbol;RESISTOR, 0.1W, 1%;9; ;NO;Beta;618-5832;http://de.rs-online.com/web/p/products/6185832/?searchTerm=618-5832&relevancy-data=636F3D3126696E3D4931384E525353746F636B4E756D6265724D504E266C753D656E266D6D3D6D61746368616C6C26706D3D5E5C647B337D5B5C732D2F255C2E5D5C647B332C347D2426706F3D313426736E3D592673743D52535F53544F434B5F4E554D424552267573743D3631382D353833322677633D4E4F4E4526; ; ; ; ; ; ; 
RLED1, RLED2, RLED3;1.0k;R-EU_R0402;R0402;RESISTOR, European symbol; ;3; ;NO;DIGIKEY; P1.00KLCT-ND; http://www.digikey.ch/product-detail/en/ERJ-2RKF1001X/P1.00KLCT-ND/97341; ; ; ; ; ; ; 
RVBST1-1, RVBST2-1, RVBST3-1, RVBST4-1, RVBST5-1, RVBST6-1, RVBST7-1, RVBST8-1;768k;R-EU_R0402;R0402;RESISTOR, European symbol; ;8; ;NO;DIGIKEY; RHM768KCDCT-ND; http://www.digikey.ch/product-detail/en/MCR01MRTF7683/RHM768KCDCT-ND/4083798; ; ; ; ; ; ; 
RVBST1-2, RVBST2-2, RVBST3-2, RVBST4-2, RVBST5-2, RVBST6-2, RVBST7-2, RVBST8-2;9.76k;R-EU_R0402;R0402;RESISTOR, European symbol; ;8; ;NO;DIGIKEY; RHM9.76KCDCT-ND; http://www.digikey.ch/product-detail/en/MCR01MRTF9761/RHM9.76KCDCT-ND/4083814; ; ; ; ; ; ; 
R_1A, R_1B, R_1C, R_1D, R_1E, R_1F, R_1G, R_1H, R_1J, R_2A, R_2B, R_2C, R_2D, R_2E, R_2F, R_2G, R_2H, R_2J, R_3A, R_3B, R_3C, R_3D, R_3E, R_3F, R_3G, R_3H, R_3J, R_4A, R_4B, R_4C, R_4D, R_4E, R_4F, R_4G, R_4H, R_4J, R_5A, R_5B, R_5C, R_5D, R_5E, R_5F, R_5G, R_5H, R_5J, R_6A, R_6B, R_6C, R_6D, R_6E, R_6F, R_6G, R_6H, R_6J, R_7A, R_7B, R_7C, R_7D, R_7E, R_7F, R_7G, R_7H, R_7J, R_8A, R_8B, R_8C, R_8D, R_8E, R_8F, R_8G, R_8H, R_8J;3.57k;R-EU_R0402;R0402;RESISTOR, European symbol; ;72; ;NO;DIGIKEY; P3.57KLCT-ND; http://www.digikey.ch/product-detail/en/ERJ-2RKF3571X/P3.57KLCT-ND/194326; ; ; ; ; ; ; 
